# Node-ID	solution type	event type	new arrangement at node	arrangement at parental node
2	exact solution	fusion	PF00096 PF13912 PF12874 PF00096	PF00096 PF13912 + PF12874 PF00096
2	exact solution	fusion	PF00096 PF16622 PF00096 PF16622 PF00096	PF00096 PF16622 + PF00096 PF16622 PF00096
2	exact solution	fusion	PF00097 PF00643 PF00041 PF00622	PF00097 PF00643 + PF00041 PF00622
2	exact solution	fusion	PF00168 PF00069	PF00168 + PF00069
2	exact solution	fusion	PF00194 PF00354	PF00194 + PF00354
2	exact solution	fusion	PF00246 PF13620 PF00246	PF00246 PF13620 + PF00246
2	exact solution	fusion	PF00385 PF12796	PF00385 + PF12796
2	exact solution	fusion	PF00400 PF00241	PF00400 + PF00241
2	exact solution	fusion	PF00400 PF00566	PF00400 + PF00566
2	exact solution	fusion	PF00405 PF09439	PF00405 + PF09439
2	exact solution	fusion	PF00412 PF07714	PF00412 + PF07714
2	exact solution	fusion	PF00415 PF13540 PF00415 PF00632	PF00415 PF13540 PF00415 + PF00632
2	exact solution	fusion	PF00431 PF00057 PF00431 PF00057 PF01392	PF00431 PF00057 PF00431 PF00057 + PF01392
2	exact solution	fusion	PF00431 PF00089 PF00431	PF00431 PF00089 + PF00431
2	exact solution	fusion	PF00483 PF00288 PF08544	PF00483 + PF00288 PF08544
2	exact solution	fusion	PF00514 PF13646	PF00514 + PF13646
2	exact solution	fusion	PF00515 PF00642	PF00515 + PF00642
2	exact solution	fusion	PF00551 PF02911 PF00171	PF00551 PF02911 + PF00171
2	exact solution	fusion	PF00554 PF16179 PF12796 PF00023	PF00554 PF16179 + PF12796 PF00023
2	exact solution	fusion	PF00567 PF04969	PF00567 + PF04969
2	exact solution	fusion	PF00595 PF00397	PF00595 + PF00397
2	exact solution	fusion	PF00595 PF08687	PF00595 + PF08687
2	exact solution	fusion	PF00610 PF00118	PF00610 + PF00118
2	exact solution	fusion	PF00612 PF00632	PF00612 + PF00632
2	exact solution	fusion	PF00621 PF03114 PF14604	PF00621 + PF03114 PF14604
2	exact solution	fusion	PF00643 PF15227	PF00643 + PF15227
2	exact solution	fusion	PF00643 PF15227 PF00643	PF00643 + PF15227 PF00643
2	exact solution	fusion	PF00646 PF13516	PF00646 + PF13516
2	exact solution	fusion	PF00648 PF01067 PF13833 PF13405	PF00648 PF01067 PF13833 + PF13405
2	exact solution	fusion	PF00653 PF05729	PF00653 + PF05729
2	exact solution	fusion	PF00702 PF01636 PF02771 PF02770 PF00441	PF00702 + PF01636 PF02771 PF02770 PF00441
2	exact solution	fusion	PF00754 PF00354	PF00754 + PF00354
2	exact solution	fusion	PF00787 PF00018 PF07653 PF00018	PF00787 PF00018 PF07653 + PF00018
2	exact solution	fusion	PF00787 PF14604 PF00620	PF00787 PF14604 + PF00620
2	exact solution	fusion	PF00928 PF03153	PF00928 + PF03153
2	exact solution	fusion	PF01108 PF09294 PF01108 PF09294	PF01108 PF09294 + PF01108 PF09294
2	exact solution	fusion	PF01266 PF01571 PF08669	PF01266 + PF01571 PF08669
2	exact solution	fusion	PF01342 PF00628	PF01342 + PF00628
2	exact solution	fusion	PF01352 PF00096 PF13912 PF00096 PF13912 PF00096 PF13912	PF01352 PF00096 PF13912 PF00096 + PF13912 PF00096 PF13912
2	exact solution	fusion	PF01352 PF12012	PF01352 + PF12012
2	exact solution	fusion	PF01392 PF00246	PF01392 + PF00246
2	exact solution	fusion	PF01477 PF00167	PF01477 + PF00167
2	exact solution	fusion	PF01498 PF13358	PF01498 + PF13358
2	exact solution	fusion	PF02023 PF00098	PF02023 + PF00098
2	exact solution	fusion	PF03020 PF00023	PF03020 + PF00023
2	exact solution	fusion	PF03810 PF02985	PF03810 + PF02985
2	exact solution	fusion	PF04201 PF10246	PF04201 + PF10246
2	exact solution	fusion	PF04300 PF00587	PF04300 + PF00587
2	exact solution	fusion	PF04434 PF00069	PF04434 + PF00069
2	exact solution	fusion	PF04516 PF00536	PF04516 + PF00536
2	exact solution	fusion	PF05018 PF00400	PF05018 + PF00400
2	exact solution	fusion	PF05485 PF00096	PF05485 + PF00096
2	exact solution	fusion	PF05485 PF01352 PF00096	PF05485 + PF01352 PF00096
2	exact solution	fusion	PF05485 PF14291	PF05485 + PF14291
2	exact solution	fusion	PF05773 PF13639	PF05773 + PF13639
2	exact solution	fusion	PF06371 PF06367 PF02181 PF02205	PF06371 PF06367 PF02181 + PF02205
2	exact solution	fusion	PF06602 PF12796 PF07525	PF06602 + PF12796 PF07525
2	exact solution	fusion	PF07546 PF00008	PF07546 + PF00008
2	exact solution	fusion	PF07679 PF01582	PF07679 + PF01582
2	exact solution	fusion	PF07679 PF13927 PF07679 PF00041 PF06583	PF07679 PF13927 + PF07679 PF00041 PF06583
2	exact solution	fusion	PF07686 PF00047 PF13927	PF07686 + PF00047 PF13927
2	exact solution	fusion	PF07686 PF08205 PF00047	PF07686 PF08205 + PF00047
2	exact solution	fusion	PF07714 PF00069	PF07714 + PF00069
2	exact solution	fusion	PF07808 PF07807 PF00400	PF07808 PF07807 + PF00400
2	exact solution	fusion	PF08205 PF07679	PF08205 + PF07679
2	exact solution	fusion	PF08240 PF00107 PF08240 PF00107	PF08240 PF00107 + PF08240 PF00107
2	exact solution	fusion	PF08241 PF13489	PF08241 + PF13489
2	exact solution	fusion	PF08321 PF00149 PF13499 PF13833	PF08321 PF00149 PF13499 + PF13833
2	exact solution	fusion	PF08366 PF00400	PF08366 + PF00400
2	exact solution	fusion	PF09133 PF00249	PF09133 + PF00249
2	exact solution	fusion	PF09607 PF03221 PF03184	PF09607 + PF03221 PF03184
2	exact solution	fusion	PF12171 PF00642	PF12171 + PF00642
2	exact solution	fusion	PF12534 PF13855 PF12799	PF12534 PF13855 + PF12799
